Date,Month,Channel,Daily_Spend_USD,Impressions
2025-07-18,July,LinkedIn Ads,3894.4,138965
2025-07-18,July,TikTok Ads,4317.28,20013
2025-07-19,July,Google Ads,1930.59,174575
2025-07-19,July,Meta Ads,2038.42,27484
2025-07-19,July,Email Marketing,1749.15,85568
2025-07-19,July,LinkedIn Ads,768.61,42288
2025-07-19,July,TikTok Ads,3688.52,115522
2025-07-20,July,Google Ads,3980.03,128716
2025-07-20,July,Meta Ads,3280.98,46666
2025-07-20,July,Email Marketing,3565.2,148318
2025-07-20,July,LinkedIn Ads,3498.45,161880
2025-07-20,July,TikTok Ads,3956.26,59520
2025-07-21,July,Google Ads,3361.11,46967
2025-07-21,July,Meta Ads,1954.08,193412
2025-07-21,July,Email Marketing,3473.64,34383
2025-07-21,July,LinkedIn Ads,970.77,1471
2025-07-21,July,TikTok Ads,4749.06,151165
2025-07-22,July,Google Ads,2018.85,149762
2025-07-22,July,Meta Ads,258.68,158912
2025-07-22,July,Email Marketing,1659.26,161269
2025-07-22,July,LinkedIn Ads,1182.39,149255
2025-07-22,July,TikTok Ads,610.14,131071
2025-07-23,July,Google Ads,789.15,196387
2025-07-23,July,Meta Ads,481.25,91914
2025-07-23,July,Email Marketing,4913.66,45010
2025-07-23,July,LinkedIn Ads,3217.32,24258
2025-07-23,July,TikTok Ads,4126.14,176642
2025-07-24,July,Google Ads,3231.6,89014
2025-07-24,July,Meta Ads,2288.49,70523
2025-07-24,July,Email Marketing,1127.45,182711
2025-07-24,July,LinkedIn Ads,432.19,68281
2025-07-24,July,TikTok Ads,3956.4,189852
2025-07-25,July,Google Ads,106.28,102171
2025-07-25,July,Meta Ads,2247.28,111009
2025-07-25,July,Email Marketing,4848.6,109532
2025-07-25,July,LinkedIn Ads,2516.1,100277
2025-07-25,July,TikTok Ads,1821.03,99395
2025-07-26,July,Google Ads,597.0,126695
2025-07-26,July,Meta Ads,3964.78,152533
2025-07-26,July,Email Marketing,3289.75,181134
2025-07-26,July,LinkedIn Ads,1205.36,119302
2025-07-26,July,TikTok Ads,461.18,9758
2025-07-27,July,Google Ads,1545.05,84549
2025-07-27,July,Meta Ads,1379.53,28453
2025-07-27,July,Email Marketing,463.58,45592
2025-07-27,July,LinkedIn Ads,4450.86,43180
2025-07-27,July,TikTok Ads,3686.73,144404
2025-07-28,July,Google Ads,4714.99,25406
2025-07-28,July,Meta Ads,1755.96,161863
2025-07-28,July,Email Marketing,4476.81,185681
2025-07-28,July,LinkedIn Ads,251.87,172346
2025-07-28,July,TikTok Ads,908.49,114823
2025-07-29,July,Google Ads,869.81,27544
2025-07-29,July,Meta Ads,1722.36,50803
2025-07-29,July,Email Marketing,2105.47,146257
2025-07-29,July,LinkedIn Ads,3637.99,192358
2025-07-29,July,TikTok Ads,2746.61,174171
2025-07-30,July,Google Ads,1479.46,63271
2025-07-30,July,Meta Ads,569.99,103996
2025-07-30,July,Email Marketing,2901.67,129699
2025-07-30,July,LinkedIn Ads,852.59,95589
2025-07-30,July,TikTok Ads,118.7,23971
2025-07-31,July,Google Ads,1543.29,174544
2025-07-31,July,Meta Ads,3162.95,126915
2025-07-31,July,Email Marketing,1078.41,7746
2025-07-31,July,LinkedIn Ads,1114.07,168297
2025-07-31,July,TikTok Ads,1529.88,22479
2025-08-01,August,Google Ads,2420.5,31279
2025-08-01,August,Meta Ads,1610.93,105193
2025-08-01,August,Email Marketing,2407.63,174287
2025-08-01,August,LinkedIn Ads,1398.52,169261
2025-08-01,August,TikTok Ads,2766.22,49465
2025-08-02,August,Google Ads,1918.0,100993
2025-08-02,August,Meta Ads,1910.07,117857
2025-08-02,August,Email Marketing,318.62,116275
2025-08-02,August,LinkedIn Ads,2378.78,60308
2025-08-02,August,TikTok Ads,4201.69,148913
2025-08-03,August,Google Ads,402.03,198193
2025-08-03,August,Meta Ads,3512.71,26350
2025-08-03,August,Email Marketing,519.97,91122
2025-08-03,August,LinkedIn Ads,4060.08,109524
2025-08-03,August,TikTok Ads,4856.46,155593
2025-08-04,August,Google Ads,1214.81,16986
2025-08-04,August,Meta Ads,4219.91,137991
2025-08-04,August,Email Marketing,2151.3,141381
2025-08-04,August,LinkedIn Ads,3466.63,125472
2025-08-04,August,TikTok Ads,2906.3,62772
2025-08-05,August,Google Ads,2433.69,21697
2025-08-05,August,Meta Ads,2034.54,188250
2025-08-05,August,Email Marketing,270.17,150741
2025-08-05,August,LinkedIn Ads,4512.23,150811
2025-08-05,August,TikTok Ads,3419.92,163600
2025-08-06,August,Google Ads,822.49,199492
2025-08-06,August,Meta Ads,2300.29,44821
2025-08-06,August,Email Marketing,4863.61,51521
2025-08-06,August,LinkedIn Ads,718.31,111985
2025-08-06,August,TikTok Ads,484.01,180077
2025-08-07,August,Google Ads,2233.43,165423
2025-08-07,August,Meta Ads,824.6,156988
2025-08-07,August,Email Marketing,1363.64,191605
2025-08-07,August,LinkedIn Ads,4579.45,18566
2025-08-07,August,TikTok Ads,526.43,146847
2025-08-08,August,Google Ads,2047.04,86492
2025-08-08,August,Meta Ads,4297.46,137233
2025-08-08,August,Email Marketing,2344.97,4241
2025-08-08,August,LinkedIn Ads,3954.1,164330
2025-08-08,August,TikTok Ads,2979.12,110994
2025-08-09,August,Google Ads,651.34,40227
2025-08-09,August,Meta Ads,826.18,155123
2025-08-09,August,Email Marketing,2955.12,27267
2025-08-09,August,LinkedIn Ads,4632.15,148504
2025-08-09,August,TikTok Ads,3919.77,75997
2025-08-10,August,Google Ads,4350.63,91143
2025-08-10,August,Meta Ads,4401.68,70241
2025-08-10,August,Email Marketing,1976.91,128293
2025-08-10,August,LinkedIn Ads,2902.91,125006
2025-08-10,August,TikTok Ads,283.58,73198
2025-08-11,August,Google Ads,2074.57,163069
2025-08-11,August,Meta Ads,3082.41,182839
2025-08-11,August,Email Marketing,2068.43,104754
2025-08-11,August,LinkedIn Ads,4458.91,87899
2025-08-11,August,TikTok Ads,3483.52,13921
2025-08-12,August,Google Ads,3754.17,71407
2025-08-12,August,Meta Ads,4495.45,6303
2025-08-12,August,Email Marketing,1755.54,80444
2025-08-12,August,LinkedIn Ads,1623.65,129875
2025-08-12,August,TikTok Ads,4305.35,180529
2025-08-13,August,Google Ads,581.27,60757
2025-08-13,August,Meta Ads,758.49,195962
2025-08-13,August,Email Marketing,2271.24,85113
2025-08-13,August,LinkedIn Ads,1420.16,110254
2025-08-13,August,TikTok Ads,3064.4,24406
2025-08-14,August,Google Ads,1020.88,56414
2025-08-14,August,Meta Ads,4575.82,107737
2025-08-14,August,Email Marketing,3730.63,136397
2025-08-14,August,LinkedIn Ads,4349.23,15734
2025-08-14,August,TikTok Ads,2624.82,42673
2025-08-15,August,Google Ads,421.52,187009
2025-08-15,August,Meta Ads,2583.3,36559
2025-08-15,August,Email Marketing,3924.53,138438
2025-08-15,August,LinkedIn Ads,4408.73,8588
2025-08-15,August,TikTok Ads,951.31,53619
2025-08-16,August,Google Ads,4201.19,66402
2025-08-16,August,Meta Ads,262.05,14253
2025-08-16,August,Email Marketing,4598.35,185715
2025-08-16,August,LinkedIn Ads,1075.64,97561
2025-08-16,August,TikTok Ads,4135.18,133415
2025-08-17,August,Google Ads,2045.02,33472
2025-08-17,August,Meta Ads,3437.75,64422
2025-08-17,August,Email Marketing,1925.09,156724
2025-08-17,August,LinkedIn Ads,2285.91,125408
2025-08-17,August,TikTok Ads,2975.71,92687
2025-08-18,August,Google Ads,1786.82,68806
2025-08-18,August,Meta Ads,3769.91,181578
2025-08-18,August,Email Marketing,542.92,8195
2025-08-18,August,LinkedIn Ads,1994.17,43705
2025-08-18,August,TikTok Ads,4283.72,57182
2025-08-19,August,Google Ads,4299.84,170706
2025-08-19,August,Meta Ads,1203.05,55193
2025-08-19,August,Email Marketing,1418.51,108349
2025-08-19,August,LinkedIn Ads,2615.08,179834
2025-08-19,August,TikTok Ads,143.6,35685
2025-08-20,August,Google Ads,3272.12,158585
2025-08-20,August,Meta Ads,4024.24,59659
2025-08-20,August,Email Marketing,1336.71,81074
2025-08-20,August,LinkedIn Ads,3592.43,186956
2025-08-20,August,TikTok Ads,3249.43,112098
2025-08-21,August,Google Ads,4487.87,92412
2025-08-21,August,Meta Ads,2349.09,58202
2025-08-21,August,Email Marketing,2386.82,178522
2025-08-21,August,LinkedIn Ads,2651.13,164474
2025-08-21,August,TikTok Ads,2046.05,27820
2025-08-22,August,Google Ads,136.0,174632
2025-08-22,August,Meta Ads,4835.78,99102
2025-08-22,August,Email Marketing,2851.14,156653
2025-08-22,August,LinkedIn Ads,3084.35,79243
2025-08-22,August,TikTok Ads,3453.62,127284
2025-08-23,August,Google Ads,412.8,73478
2025-08-23,August,Meta Ads,3238.91,73583
2025-08-23,August,Email Marketing,1379.62,187408
2025-08-23,August,LinkedIn Ads,4765.72,171778
2025-08-23,August,TikTok Ads,1564.08,40303
2025-08-24,August,Google Ads,2634.74,63993
2025-08-24,August,Meta Ads,4508.47,158295
2025-08-24,August,Email Marketing,2080.08,84777
2025-08-24,August,LinkedIn Ads,3435.7,190080
2025-08-24,August,TikTok Ads,224.73,131383
2025-08-25,August,Google Ads,4987.6,69007
2025-08-25,August,Meta Ads,4543.87,107063
2025-08-25,August,Email Marketing,2002.55,10258
2025-08-25,August,LinkedIn Ads,2956.82,150957
2025-08-25,August,TikTok Ads,4098.47,90959
2025-08-26,August,Google Ads,3660.09,59291
2025-08-26,August,Meta Ads,3462.96,168330
2025-08-26,August,Email Marketing,3946.0,177126
2025-08-26,August,LinkedIn Ads,1856.64,79694
2025-08-26,August,TikTok Ads,4242.55,173389
2025-08-27,August,Google Ads,4394.82,48483
2025-08-27,August,Meta Ads,1539.54,124412
2025-08-27,August,Email Marketing,726.93,68804
2025-08-27,August,LinkedIn Ads,3653.41,147546
2025-08-27,August,TikTok Ads,3838.3,48990
2025-08-28,August,Google Ads,4739.92,88984
2025-08-28,August,Meta Ads,3306.73,59262
2025-08-28,August,Email Marketing,1840.89,196090
2025-08-28,August,LinkedIn Ads,4370.02,111224
2025-08-28,August,TikTok Ads,3961.64,87852
2025-08-29,August,Google Ads,1921.24,154503
2025-08-29,August,Meta Ads,1540.85,31875
2025-08-29,August,Email Marketing,2405.63,167303
2025-08-29,August,LinkedIn Ads,2959.52,163700
2025-08-29,August,TikTok Ads,448.96,51998
2025-08-30,August,Google Ads,2552.34,179440
2025-08-30,August,Meta Ads,1970.18,79212
2025-08-30,August,Email Marketing,2124.23,40525
2025-08-30,August,LinkedIn Ads,773.09,53506
2025-08-30,August,TikTok Ads,1779.08,150265
2025-08-31,August,Google Ads,4474.94,120949
2025-08-31,August,Meta Ads,801.8,188608
2025-08-31,August,Email Marketing,983.75,22184
2025-08-31,August,LinkedIn Ads,2489.15,166421
2025-08-31,August,TikTok Ads,4934.54,83159
2025-09-01,September,Google Ads,3209.04,2235
2025-09-01,September,Meta Ads,2315.06,55888
2025-09-01,September,Email Marketing,3829.85,45198
2025-09-01,September,LinkedIn Ads,2923.77,42532
2025-09-01,September,TikTok Ads,2498.93,24079
2025-09-02,September,Google Ads,734.09,114694
2025-09-02,September,Meta Ads,3204.09,106747
2025-09-02,September,Email Marketing,2202.22,126147
2025-09-02,September,LinkedIn Ads,1978.25,10889
2025-09-02,September,TikTok Ads,2715.53,192537
2025-09-03,September,Google Ads,1928.2,4690
2025-09-03,September,Meta Ads,4470.83,199403
2025-09-03,September,Email Marketing,4182.82,50958
2025-09-03,September,LinkedIn Ads,187.79,2081
2025-09-03,September,TikTok Ads,3170.77,66227
2025-09-04,September,Google Ads,1208.7,91269
2025-09-04,September,Meta Ads,1629.25,27924
2025-09-04,September,Email Marketing,1979.4,155316
2025-09-04,September,LinkedIn Ads,1599.96,18114
2025-09-04,September,TikTok Ads,4136.83,79171
2025-09-05,September,Google Ads,4747.47,120518
2025-09-05,September,Meta Ads,3666.38,157334
2025-09-05,September,Email Marketing,2668.18,114682
2025-09-05,September,LinkedIn Ads,4451.07,36072
2025-09-05,September,TikTok Ads,1779.39,129497
2025-09-06,September,Google Ads,1860.33,50394
2025-09-06,September,Meta Ads,907.93,106746
2025-09-06,September,Email Marketing,193.71,59804
2025-09-06,September,LinkedIn Ads,3663.13,35394
2025-09-06,September,TikTok Ads,1134.83,6744
2025-09-07,September,Google Ads,2989.49,45298
2025-09-07,September,Meta Ads,703.49,187413
2025-09-07,September,Email Marketing,3287.65,10794
2025-09-07,September,LinkedIn Ads,1938.44,168856
2025-09-07,September,TikTok Ads,1353.37,141177
2025-09-08,September,Google Ads,3153.36,156693
2025-09-08,September,Meta Ads,4973.93,174531
2025-09-08,September,Email Marketing,629.76,6175
2025-09-08,September,LinkedIn Ads,336.35,31353
2025-09-08,September,TikTok Ads,2142.2,100681
2025-09-09,September,Google Ads,705.62,67253
2025-09-09,September,Meta Ads,2424.54,41141
2025-09-09,September,Email Marketing,1106.93,180762
2025-09-09,September,LinkedIn Ads,3188.53,79935
2025-09-09,September,TikTok Ads,2162.27,27471
2025-09-10,September,Google Ads,3346.17,71772
2025-09-10,September,Meta Ads,3151.71,184691
2025-09-10,September,Email Marketing,772.1,28502
2025-09-10,September,LinkedIn Ads,2606.77,162925
2025-09-10,September,TikTok Ads,676.9,30887
2025-09-11,September,Google Ads,3945.32,131479
2025-09-11,September,Meta Ads,1073.37,53363
2025-09-11,September,Email Marketing,3912.0,138139
2025-09-11,September,LinkedIn Ads,4868.29,94827
2025-09-11,September,TikTok Ads,3546.84,78424
2025-09-12,September,Google Ads,885.83,144691
2025-09-12,September,Meta Ads,2532.14,55445
2025-09-12,September,Email Marketing,3472.2,127003
2025-09-12,September,LinkedIn Ads,1719.96,1717
2025-09-12,September,TikTok Ads,162.47,24331
2025-09-13,September,Google Ads,4543.71,151510
2025-09-13,September,Meta Ads,3378.21,40097
2025-09-13,September,Email Marketing,4752.29,135140
2025-09-13,September,LinkedIn Ads,467.74,190681
2025-09-13,September,TikTok Ads,596.32,68080
2025-09-14,September,Google Ads,3257.25,120734
2025-09-14,September,Meta Ads,4944.46,78600
2025-09-14,September,Email Marketing,1394.21,14128
2025-09-14,September,LinkedIn Ads,589.06,46797
2025-09-14,September,TikTok Ads,4383.29,77170
2025-09-15,September,Google Ads,1865.05,178410
2025-09-15,September,Meta Ads,1632.26,194603
2025-09-15,September,Email Marketing,667.92,199758
2025-09-15,September,LinkedIn Ads,4462.43,3535
2025-09-15,September,TikTok Ads,4274.79,174894
2025-09-16,September,Google Ads,3271.27,87156
2025-09-16,September,Meta Ads,1851.88,115744
2025-09-16,September,Email Marketing,4779.94,71335
2025-09-16,September,LinkedIn Ads,4404.53,25366
2025-09-16,September,TikTok Ads,1925.85,90842
2025-09-17,September,Google Ads,996.06,106061
2025-09-17,September,Meta Ads,2061.23,120678
2025-09-17,September,Email Marketing,1431.98,102113
2025-09-17,September,LinkedIn Ads,3480.52,126369
2025-09-17,September,TikTok Ads,4019.51,171091
2025-09-18,September,Google Ads,4442.01,44720
2025-09-18,September,Meta Ads,653.98,183496
2025-09-18,September,Email Marketing,3659.41,42784
2025-09-18,September,LinkedIn Ads,608.19,155861
2025-09-18,September,TikTok Ads,2465.11,150145
2025-09-19,September,Google Ads,3424.13,48516
2025-09-19,September,Meta Ads,3095.48,95004
2025-09-19,September,Email Marketing,3095.66,180428
2025-09-19,September,LinkedIn Ads,4411.76,191651
2025-09-19,September,TikTok Ads,4869.88,35250
2025-09-20,September,Google Ads,2467.09,128958
2025-09-20,September,Meta Ads,653.39,108815
2025-09-20,September,Email Marketing,2259.37,17603
2025-09-20,September,LinkedIn Ads,1381.9,83375
2025-09-20,September,TikTok Ads,160.57,178714
2025-09-21,September,Google Ads,2671.61,195936
2025-09-21,September,Meta Ads,2925.58,149114
2025-09-21,September,Email Marketing,1197.53,176595
2025-09-21,September,LinkedIn Ads,4378.4,137078
2025-09-21,September,TikTok Ads,2663.21,184652
2025-09-22,September,Google Ads,3129.37,114468
2025-09-22,September,Meta Ads,3342.39,66162
2025-09-22,September,Email Marketing,2461.46,174987
2025-09-22,September,LinkedIn Ads,3413.85,101893
2025-09-22,September,TikTok Ads,828.41,147366
2025-09-23,September,Google Ads,4471.1,161671
2025-09-23,September,Meta Ads,367.37,169663
2025-09-23,September,Email Marketing,4678.42,133531
2025-09-23,September,LinkedIn Ads,4259.34,130980
2025-09-23,September,TikTok Ads,4360.14,20625
2025-09-24,September,Google Ads,3782.01,85052
2025-09-24,September,Meta Ads,1280.37,73917
2025-09-24,September,Email Marketing,346.72,59381
2025-09-24,September,LinkedIn Ads,2797.43,100257
2025-09-24,September,TikTok Ads,2076.06,62603
2025-09-25,September,Google Ads,486.27,117441
2025-09-25,September,Meta Ads,4026.18,118466
2025-09-25,September,Email Marketing,531.3,131667
2025-09-25,September,LinkedIn Ads,2290.63,32118
2025-09-25,September,TikTok Ads,4905.29,196359
2025-09-26,September,Google Ads,3301.53,27907
2025-09-26,September,Meta Ads,2076.85,10393
2025-09-26,September,Email Marketing,2829.94,1044
2025-09-26,September,LinkedIn Ads,4146.95,159388
2025-09-26,September,TikTok Ads,4819.54,168126
2025-09-27,September,Google Ads,1592.53,134257
2025-09-27,September,Meta Ads,2855.43,172598
2025-09-27,September,Email Marketing,3390.22,90352
2025-09-27,September,LinkedIn Ads,1880.38,15227
2025-09-27,September,TikTok Ads,4101.28,120133
2025-09-28,September,Google Ads,1726.67,163465
2025-09-28,September,Meta Ads,3039.76,188867
2025-09-28,September,Email Marketing,3320.12,188672
2025-09-28,September,LinkedIn Ads,2317.41,26542
2025-09-28,September,TikTok Ads,3820.67,59129
2025-09-29,September,Google Ads,110.77,94097
2025-09-29,September,Meta Ads,4166.43,77541
2025-09-29,September,Email Marketing,2783.68,99013
2025-09-29,September,LinkedIn Ads,3540.27,13000
2025-09-29,September,TikTok Ads,4494.7,130085
2025-09-30,September,Google Ads,788.2,188919
2025-09-30,September,Meta Ads,3738.3,108272
2025-09-30,September,Email Marketing,624.11,161131
2025-09-30,September,LinkedIn Ads,1060.02,32652
2025-09-30,September,TikTok Ads,4658.06,103995
